date,open,high,low,close,adjusted_close,volume,Name
2005-01-03,58.97999954223633,59.279998779296875,58.349998474121094,58.36000061035156,38.084251403808594,701000,CLX
2005-01-04,58.52000045776367,58.599998474121094,57.75,57.75,37.686180114746094,822000,CLX
2005-01-05,57.95000076293945,58.25,57.459999084472656,57.459999084472656,37.49692153930664,730600,CLX
2005-01-06,57.650001525878906,58.2599983215332,57.5,57.970001220703125,37.829742431640625,540900,CLX
2005-01-07,57.900001525878906,58.75,57.900001525878906,58.459999084472656,38.14949417114258,493000,CLX
2005-01-10,58.459999084472656,58.86000061035156,58.20000076293945,58.349998474121094,38.07770919799805,550100,CLX
2005-01-11,58.20000076293945,58.630001068115234,58.130001068115234,58.349998474121094,38.07770919799805,462500,CLX
2005-01-12,58.36000061035156,58.880001068115234,58.25,58.689998626708984,38.29960632324219,609300,CLX
2005-01-13,58.54999923706055,58.70000076293945,58.099998474121094,58.119998931884766,37.9276123046875,626500,CLX
2005-01-14,58.119998931884766,58.630001068115234,58.02000045776367,58.54999923706055,38.208248138427734,617400,CLX
2005-01-18,58.400001525878906,59.130001068115234,58.16999816894531,59.09000015258789,38.56062316894531,810500,CLX
2005-01-19,59.09000015258789,59.56999969482422,59.09000015258789,59.189998626708984,38.62586975097656,1088900,CLX
2005-01-20,59.099998474121094,59.58000183105469,58.88999938964844,59.40999984741211,38.76944351196289,709500,CLX
2005-01-21,59.54999923706055,59.54999923706055,59.040000915527344,59.20000076293945,38.63240432739258,772700,CLX
2005-01-24,59.209999084472656,59.209999084472656,58.779998779296875,58.83000183105469,38.390953063964844,491600,CLX
2005-01-25,58.84000015258789,59.04999923706055,58.5,58.790000915527344,38.364845275878906,926100,CLX
2005-01-26,58.900001525878906,58.900001525878906,58.15999984741211,58.16999816894531,37.96025466918945,834400,CLX
2005-01-27,57.54999923706055,57.560001373291016,56.79999923706055,57.5,37.70452117919922,2092700,CLX
2005-01-28,58.349998474121094,59.36000061035156,58.150001525878906,58.41999816894531,38.30778884887695,1412600,CLX
2005-01-31,58.599998474121094,59.4900016784668,58.400001525878906,59.41999816894531,38.96352005004883,1112800,CLX
2005-02-01,59.25,59.2599983215332,58.540000915527344,58.70000076293945,38.49140167236328,1076100,CLX
2005-02-02,58.880001068115234,58.90999984741211,58.58000183105469,58.7599983215332,38.53074645996094,620900,CLX
2005-02-03,58.77000045776367,59.220001220703125,58.52000045776367,59.0099983215332,38.69466781616211,632400,CLX
2005-02-04,59.02000045776367,59.290000915527344,58.5,58.599998474121094,38.42581558227539,925700,CLX
2005-02-07,59.75,60.290000915527344,58.0,59.18000030517578,38.806148529052734,4288300,CLX
2005-02-08,59.400001525878906,59.619998931884766,58.869998931884766,59.279998779296875,38.87171936035156,916200,CLX
2005-02-09,59.43000030517578,59.75,59.15999984741211,59.25,38.8520393371582,949600,CLX
2005-02-10,59.2400016784668,59.5099983215332,59.099998474121094,59.33000183105469,38.90450668334961,913600,CLX
2005-02-11,59.400001525878906,59.939998626708984,59.31999969482422,59.81999969482422,39.22581100463867,707600,CLX
